Office No Clean,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Office Group Size,Cash At Bank,Net Assets,Turnover,Source,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Investigative Priority,Risk Tier (Objective),Public Linkage Category,Priority Entity,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes
222,222.0,E-Knack Ltd,15121770,Yes,2023-09-07,Active,,"Office 222, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£870,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15121770,https://find-and-update.company-information.service.gov.uk/company/15121770/officers,https://find-and-update.company-information.service.gov.uk/company/15121770/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
223,223.0,Optimus Clicks Ltd,15188332,Yes,2023-10-04,Active,,"Office 223, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£9,163",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15188332,https://find-and-update.company-information.service.gov.uk/company/15188332/officers,https://find-and-update.company-information.service.gov.uk/company/15188332/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
224,224.0,Mff Ltd,15967023,Yes,2024-09-19,Active,,"Office 224, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15967023,https://find-and-update.company-information.service.gov.uk/company/15967023/officers,https://find-and-update.company-information.service.gov.uk/company/15967023/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
225,225.0,Aqua Astra Limited,15132774,Yes,2023-09-12,Active,,"Office 225, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15132774,https://find-and-update.company-information.service.gov.uk/company/15132774/officers,https://find-and-update.company-information.service.gov.uk/company/15132774/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
225,225.0,Ravihayyy Ltd,13783198,Yes,2021-12-06,Active,,"Office 225, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/13783198,https://find-and-update.company-information.service.gov.uk/company/13783198/officers,https://find-and-update.company-information.service.gov.uk/company/13783198/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
226,226.0,Continental Recruitment and Staffing Ltd,14347976,Yes,2022-09-09,Active,,"Office 226, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14347976,https://find-and-update.company-information.service.gov.uk/company/14347976/officers,https://find-and-update.company-information.service.gov.uk/company/14347976/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
227,227.0,Sadeemhost Ltd,13509829,Yes,2021-07-14,Active,,"Office 227, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£870,"£10,950",open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/13509829,https://find-and-update.company-information.service.gov.uk/company/13509829/officers,https://find-and-update.company-information.service.gov.uk/company/13509829/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
228,228.0,24/7 Support Private Limited,15707123,Yes,2024-05-07,Active,,"Office 228, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15707123,https://find-and-update.company-information.service.gov.uk/company/15707123/officers,https://find-and-update.company-information.service.gov.uk/company/15707123/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
229,229.0,Slizetech Ltd,15137908,Yes,2023-09-14,Active,,"Office 229, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£620,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15137908,https://find-and-update.company-information.service.gov.uk/company/15137908/officers,https://find-and-update.company-information.service.gov.uk/company/15137908/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
230,230.0,Mux Buy Ltd,15130241,Yes,2023-09-11,Active,,"Office 230, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15130241,https://find-and-update.company-information.service.gov.uk/company/15130241/officers,https://find-and-update.company-information.service.gov.uk/company/15130241/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
231,231.0,Ecompinnacle Ltd,15967020,Yes,2024-09-19,Active,,"Office 231, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15967020,https://find-and-update.company-information.service.gov.uk/company/15967020/officers,https://find-and-update.company-information.service.gov.uk/company/15967020/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
232,232.0,Shaza Industries Ltd,15968984,Yes,2024-09-20,Active,,"Office 232, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15968984,https://find-and-update.company-information.service.gov.uk/company/15968984/officers,https://find-and-update.company-information.service.gov.uk/company/15968984/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
234,234.0,Zyyndex Ltd,15972436,Yes,2024-09-23,Active,,"Office 234, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15972436,https://find-and-update.company-information.service.gov.uk/company/15972436/officers,https://find-and-update.company-information.service.gov.uk/company/15972436/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
235,235.0,Aamir Maqsood Ltd,15974762,Yes,2024-09-24,Active,,"Office 235, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15974762,https://find-and-update.company-information.service.gov.uk/company/15974762/officers,https://find-and-update.company-information.service.gov.uk/company/15974762/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
236,236.0,Autovin Insight Ltd,15977826,Yes,2024-09-25,Active,,"Office 236, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15977826,https://find-and-update.company-information.service.gov.uk/company/15977826/officers,https://find-and-update.company-information.service.gov.uk/company/15977826/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
237,237.0,Orbexo Ltd,15975281,Yes,2024-09-24,Active,,"Office 237, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£399,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15975281,https://find-and-update.company-information.service.gov.uk/company/15975281/officers,https://find-and-update.company-information.service.gov.uk/company/15975281/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
238,238.0,Ludo Tournament Ltd,15977608,Yes,2024-09-25,Active,,"Office 238, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15977608,https://find-and-update.company-information.service.gov.uk/company/15977608/officers,https://find-and-update.company-information.service.gov.uk/company/15977608/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
239,239.0,Consulting Door Ltd,15982099,Yes,2024-09-27,Active,,"Office 239, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15982099,https://find-and-update.company-information.service.gov.uk/company/15982099/officers,https://find-and-update.company-information.service.gov.uk/company/15982099/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
240,240.0,Kahlon Traders Ltd,15740336,Yes,2024-05-25,Active,,"Office 240, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15740336,https://find-and-update.company-information.service.gov.uk/company/15740336/officers,https://find-and-update.company-information.service.gov.uk/company/15740336/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
241,241.0,Eco Live Now Limited,15987106,Yes,2024-09-30,Active,,"Office 241, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15987106,https://find-and-update.company-information.service.gov.uk/company/15987106/officers,https://find-and-update.company-information.service.gov.uk/company/15987106/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
242,242.0,Debugbee Ltd,15987197,Yes,2024-09-30,Active,,"Office 242, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15987197,https://find-and-update.company-information.service.gov.uk/company/15987197/officers,https://find-and-update.company-information.service.gov.uk/company/15987197/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
243,243.0,Rank Drive Ltd,15992623,Yes,2024-10-02,Active,,"Office 243, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15992623,https://find-and-update.company-information.service.gov.uk/company/15992623/officers,https://find-and-update.company-information.service.gov.uk/company/15992623/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
244,244.0,The Seo Workers Ltd,15998256,Yes,2024-10-04,Active,,"Office 244, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15998256,https://find-and-update.company-information.service.gov.uk/company/15998256/officers,https://find-and-update.company-information.service.gov.uk/company/15998256/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
245,245.0,Aizornextsolution Ltd,15053166,Yes,2023-08-07,Active,,"Office 245, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15053166,https://find-and-update.company-information.service.gov.uk/company/15053166/officers,https://find-and-update.company-information.service.gov.uk/company/15053166/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
246,246.0,Content Ocean Ltd,16001078,Yes,2024-10-07,Active,,"Office 246, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16001078,https://find-and-update.company-information.service.gov.uk/company/16001078/officers,https://find-and-update.company-information.service.gov.uk/company/16001078/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
247,247.0,Appvibe Ltd,16001558,Yes,2024-10-07,Active,,"Office 247, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16001558,https://find-and-update.company-information.service.gov.uk/company/16001558/officers,https://find-and-update.company-information.service.gov.uk/company/16001558/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
248,248.0,Saleem Aziz Ltd,16001662,Yes,2024-10-07,Active,,"Office 248, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16001662,https://find-and-update.company-information.service.gov.uk/company/16001662/officers,https://find-and-update.company-information.service.gov.uk/company/16001662/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
249,249.0,Prime Tech Pvt Ltd,16003470,Yes,2024-10-07,Active,,"Office 249, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16003470,https://find-and-update.company-information.service.gov.uk/company/16003470/officers,https://find-and-update.company-information.service.gov.uk/company/16003470/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
250,250.0,Multi Niche Gp Ltd,16004620,Yes,2024-10-08,Active,,"Office 250, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16004620,https://find-and-update.company-information.service.gov.uk/company/16004620/officers,https://find-and-update.company-information.service.gov.uk/company/16004620/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
251,251.0,Munir & Sons Enterprises Ltd,16008823,Yes,2024-10-09,Active,,"Office 251, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16008823,https://find-and-update.company-information.service.gov.uk/company/16008823/officers,https://find-and-update.company-information.service.gov.uk/company/16008823/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
252,252.0,Blooginga Tech Solution Ltd,16007530,Yes,2024-10-09,Active,,"Office 252, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16007530,https://find-and-update.company-information.service.gov.uk/company/16007530/officers,https://find-and-update.company-information.service.gov.uk/company/16007530/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
254,254.0,Sial Brand Media Ltd,16018875,Yes,2024-10-15,Active,,"Office 254, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£155,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16018875,https://find-and-update.company-information.service.gov.uk/company/16018875/officers,https://find-and-update.company-information.service.gov.uk/company/16018875/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
255,255.0,Backlink Huber Ltd,15186093,Yes,2023-10-04,Active,,"Office 255, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15186093,https://find-and-update.company-information.service.gov.uk/company/15186093/officers,https://find-and-update.company-information.service.gov.uk/company/15186093/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
256,256.0,Ghulamali Ltd,16027217,Yes,2024-10-18,Active,,"Office 256, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16027217,https://find-and-update.company-information.service.gov.uk/company/16027217/officers,https://find-and-update.company-information.service.gov.uk/company/16027217/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
257,257.0,Tutordipu Ltd,15194014,Yes,2023-10-06,Active,,"Office 257, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15194014,https://find-and-update.company-information.service.gov.uk/company/15194014/officers,https://find-and-update.company-information.service.gov.uk/company/15194014/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
258,258.0,"Guangzhou Lingcheng Trading Co., Ltd",16036894,Yes,2024-10-23,Active,,"Office 258, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16036894,https://find-and-update.company-information.service.gov.uk/company/16036894/officers,https://find-and-update.company-information.service.gov.uk/company/16036894/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
260,260.0,Embroidery Pixels Ltd,15194705,Yes,2023-10-07,Active,,"Office 260, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15194705,https://find-and-update.company-information.service.gov.uk/company/15194705/officers,https://find-and-update.company-information.service.gov.uk/company/15194705/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
262,262.0,Techperia Ltd,15235243,Yes,2023-10-25,Active,,"Office 262, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£5,040",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15235243,https://find-and-update.company-information.service.gov.uk/company/15235243/officers,https://find-and-update.company-information.service.gov.uk/company/15235243/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
263,263.0,Nintex Softwares Ltd,15199446,Yes,2023-10-10,Active,,"Office 263, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15199446,https://find-and-update.company-information.service.gov.uk/company/15199446/officers,https://find-and-update.company-information.service.gov.uk/company/15199446/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
264,264.0,Itskllz Ltd,15192034,Yes,2023-10-06,Active,,"Office 264, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15192034,https://find-and-update.company-information.service.gov.uk/company/15192034/officers,https://find-and-update.company-information.service.gov.uk/company/15192034/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
265,265.0,Tech Upp Limited,16048204,Yes,2024-10-29,Active,,"Office 265, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£925,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16048204,https://find-and-update.company-information.service.gov.uk/company/16048204/officers,https://find-and-update.company-information.service.gov.uk/company/16048204/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
266,266.0,Learn Seo Club Ltd,16053251,Yes,2024-10-31,Active,,"Office 266, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16053251,https://find-and-update.company-information.service.gov.uk/company/16053251/officers,https://find-and-update.company-information.service.gov.uk/company/16053251/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
267,267.0,Iehsas Global Limited,16053183,Yes,2024-10-31,Active,,"Office 267, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16053183,https://find-and-update.company-information.service.gov.uk/company/16053183/officers,https://find-and-update.company-information.service.gov.uk/company/16053183/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
268,268.0,Xpert Labz Ltd,16060678,Yes,2024-11-05,Active,,"Office 268, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16060678,https://find-and-update.company-information.service.gov.uk/company/16060678/officers,https://find-and-update.company-information.service.gov.uk/company/16060678/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
269,269.0,Wizpack Ltd,16064210,Yes,2024-11-06,Active,,"Office 269, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£4,800",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16064210,https://find-and-update.company-information.service.gov.uk/company/16064210/officers,https://find-and-update.company-information.service.gov.uk/company/16064210/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
270,270.0,Raza Corporations Pvt Ltd,16067379,Yes,2024-11-07,Active,,"Office 270, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16067379,https://find-and-update.company-information.service.gov.uk/company/16067379/officers,https://find-and-update.company-information.service.gov.uk/company/16067379/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
271,271.0,Feary Tech Solutions Ltd,16071519,Yes,2024-11-11,Active,,"Office 271, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16071519,https://find-and-update.company-information.service.gov.uk/company/16071519/officers,https://find-and-update.company-information.service.gov.uk/company/16071519/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
272,272.0,Resbloom Limited,16071679,Yes,2024-11-11,Active,,"Office 272, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£790,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16071679,https://find-and-update.company-information.service.gov.uk/company/16071679/officers,https://find-and-update.company-information.service.gov.uk/company/16071679/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
273,273.0,Digital Omega Ltd,15129566,Yes,2023-09-11,Active,,"Office 273, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15129566,https://find-and-update.company-information.service.gov.uk/company/15129566/officers,https://find-and-update.company-information.service.gov.uk/company/15129566/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
274,274.0,Itstopten Ltd,15251090,Yes,2023-11-01,Active,,"Office 274, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£3,618",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15251090,https://find-and-update.company-information.service.gov.uk/company/15251090/officers,https://find-and-update.company-information.service.gov.uk/company/15251090/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
275,275.0,Joomfashion Ltd,15272001,Yes,2023-11-09,Active,,"Office 275, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£1,950",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15272001,https://find-and-update.company-information.service.gov.uk/company/15272001/officers,https://find-and-update.company-information.service.gov.uk/company/15272001/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
276,276.0,E Brain Tech Ltd,16079108,Yes,2024-11-14,Active,,"Office 276, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16079108,https://find-and-update.company-information.service.gov.uk/company/16079108/officers,https://find-and-update.company-information.service.gov.uk/company/16079108/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
277,277.0,Backylinks Ltd,16078166,Yes,2024-11-13,Active,,"Office 277, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16078166,https://find-and-update.company-information.service.gov.uk/company/16078166/officers,https://find-and-update.company-information.service.gov.uk/company/16078166/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
278,278.0,Lohar Orthopedic Ltd,16084432,Yes,2024-11-18,Active,,"Office 278, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16084432,https://find-and-update.company-information.service.gov.uk/company/16084432/officers,https://find-and-update.company-information.service.gov.uk/company/16084432/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
278,278.0,Lohar Orthopedic Surgical Ltd,,No,,Active,,"Office 278, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities
279,279.0,Meercraft Design Ltd,16084477,Yes,2024-11-18,Active,,"Office 279, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16084477,https://find-and-update.company-information.service.gov.uk/company/16084477/officers,https://find-and-update.company-information.service.gov.uk/company/16084477/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
280,280.0,Sponsoredsay Ltd,16085308,Yes,2024-11-18,Active,,"Office 280, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16085308,https://find-and-update.company-information.service.gov.uk/company/16085308/officers,https://find-and-update.company-information.service.gov.uk/company/16085308/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
281,281.0,Marketing Klick Ltd,16086330,Yes,2024-11-18,Active,,"Office 281, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16086330,https://find-and-update.company-information.service.gov.uk/company/16086330/officers,https://find-and-update.company-information.service.gov.uk/company/16086330/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
282,282.0,Iwt Solutions Ltd,13224210,Yes,2021-02-24,Active,,"Office 282, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£100,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/13224210,https://find-and-update.company-information.service.gov.uk/company/13224210/officers,https://find-and-update.company-information.service.gov.uk/company/13224210/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
284,284.0,Serp Insight Ltd,15287948,Yes,2023-11-15,Active,,"Office 284, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£1,400",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15287948,https://find-and-update.company-information.service.gov.uk/company/15287948/officers,https://find-and-update.company-information.service.gov.uk/company/15287948/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
