#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,2026-04-01 Web Update,2026-04-01 Web Update URLs,Project Dunstall Mirror Mention,Project Dunstall Mirror Notes,Project Dunstall Mirror URL,2026-04-01 Ezone/HopeTex Update,2026-04-01 Ezone/HopeTex Update URLs
110,141,Wristlets Collection Ltd,—,No,—,Active,,"Office 141, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,,,,,,,,,,,,,secret-bases,,,,,,,,,
111,144,Futura Innovations Ltd,15696208,Yes,2024-04-30,Active,,"Office 144, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15696208,https://find-and-update.company-information.service.gov.uk/company/15696208/officers,https://find-and-update.company-information.service.gov.uk/company/15696208/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
112,145,Sanseraservices Limited,15696803,Yes,2024-04-30,Active,,"Office 145, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£3,275",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15696803,https://find-and-update.company-information.service.gov.uk/company/15696803/officers,https://find-and-update.company-information.service.gov.uk/company/15696803/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
113,146,K2tech Ltd,15696766,Yes,2024-04-30,Active,,"Office 146, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15696766,https://find-and-update.company-information.service.gov.uk/company/15696766/officers,https://find-and-update.company-information.service.gov.uk/company/15696766/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
114,147,Leetedge Ltd,15697044,Yes,2024-04-30,Active,,"Office 147, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697044,https://find-and-update.company-information.service.gov.uk/company/15697044/officers,https://find-and-update.company-information.service.gov.uk/company/15697044/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
115,148,Rank Blu Marketing Ltd,15697147,Yes,2024-04-30,Active,,"Office 148, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697147,https://find-and-update.company-information.service.gov.uk/company/15697147/officers,https://find-and-update.company-information.service.gov.uk/company/15697147/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
116,149,Digital Dock Media Limited,15696859,Yes,2024-04-30,Active,,"Office 149, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£100,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15696859,https://find-and-update.company-information.service.gov.uk/company/15696859/officers,https://find-and-update.company-information.service.gov.uk/company/15696859/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
117,151,Techignitelab Ltd,15697694,Yes,2024-04-30,Active,,"Office 151, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£100,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697694,https://find-and-update.company-information.service.gov.uk/company/15697694/officers,https://find-and-update.company-information.service.gov.uk/company/15697694/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
118,152,Digital Frame Ltd,15697273,Yes,2024-04-30,Active,,"Office 152, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697273,https://find-and-update.company-information.service.gov.uk/company/15697273/officers,https://find-and-update.company-information.service.gov.uk/company/15697273/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
119,153,Webentum Ltd,15697307,Yes,2024-04-30,Active,,"Office 153, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£100,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697307,https://find-and-update.company-information.service.gov.uk/company/15697307/officers,https://find-and-update.company-information.service.gov.uk/company/15697307/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
120,154,Technekia Ltd,15697840,Yes,2024-04-30,Active,,"Office 154, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697840,https://find-and-update.company-information.service.gov.uk/company/15697840/officers,https://find-and-update.company-information.service.gov.uk/company/15697840/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
121,155,New Brands Mart Ltd,15697996,Yes,2024-04-30,Active,,"Office 155, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15697996,https://find-and-update.company-information.service.gov.uk/company/15697996/officers,https://find-and-update.company-information.service.gov.uk/company/15697996/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
122,156,Dmd Consultant Ltd,—,No,—,Active,,"Office 156, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,,,,,,,,,,,,,secret-bases,,,,,,,,,
123,156,Dmd Consultant Ltd,—,No,—,Active,,"Office 156, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,HIGH,HIGH,,,,,,No valid Companies House number in source row,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,,,,,,,
124,157,Pr Experts Ltd,15698035,Yes,2024-04-30,Active,,"Office 157, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15698035,https://find-and-update.company-information.service.gov.uk/company/15698035/officers,https://find-and-update.company-information.service.gov.uk/company/15698035/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
125,158,Linked Marketing Ltd,15698154,Yes,2024-04-30,Active,,"Office 158, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15698154,https://find-and-update.company-information.service.gov.uk/company/15698154/officers,https://find-and-update.company-information.service.gov.uk/company/15698154/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
126,159,Crazeins Ltd,13886367,Yes,2022-02-01,Active,,"Office 159, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/13886367,https://find-and-update.company-information.service.gov.uk/company/13886367/officers,https://find-and-update.company-information.service.gov.uk/company/13886367/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
127,160,Owais Ghani Ltd,15712048,Yes,2024-05-10,Active,,"Office 160, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£15,700",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15712048,https://find-and-update.company-information.service.gov.uk/company/15712048/officers,https://find-and-update.company-information.service.gov.uk/company/15712048/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
128,161,Km Logistics's Ltd,14852624,Yes,2023-05-08,Active,,"Office 161, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£3,920",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14852624,https://find-and-update.company-information.service.gov.uk/company/14852624/officers,https://find-and-update.company-information.service.gov.uk/company/14852624/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
129,162,Weavonic Digital Ltd,15727318,Yes,2024-05-18,Active,,"Office 162, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15727318,https://find-and-update.company-information.service.gov.uk/company/15727318/officers,https://find-and-update.company-information.service.gov.uk/company/15727318/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
130,163,Fendsol Ltd,15726417,Yes,2024-05-17,Active,,"Office 163, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£3,540",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15726417,https://find-and-update.company-information.service.gov.uk/company/15726417/officers,https://find-and-update.company-information.service.gov.uk/company/15726417/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
131,164,Isloo Marketing Ltd,15743745,Yes,2024-05-26,Active,,"Office 164, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15743745,https://find-and-update.company-information.service.gov.uk/company/15743745/officers,https://find-and-update.company-information.service.gov.uk/company/15743745/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
132,165,Arslan Saleem Ltd,15747722,Yes,2024-05-29,Active,,"Office 165, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15747722,https://find-and-update.company-information.service.gov.uk/company/15747722/officers,https://find-and-update.company-information.service.gov.uk/company/15747722/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
133,166,Adflow Solution Ltd,15765103,Yes,2024-06-06,Active,,"Office 166, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"£1,601",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15765103,https://find-and-update.company-information.service.gov.uk/company/15765103/officers,https://find-and-update.company-information.service.gov.uk/company/15765103/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
134,168,Abdul Private Limited,15778414,Yes,2024-06-14,Active,,"Office 168, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£10,384",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15778414,https://find-and-update.company-information.service.gov.uk/company/15778414/officers,https://find-and-update.company-information.service.gov.uk/company/15778414/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
135,170,Serpinn Ltd,14906143,Yes,2023-05-31,Active,,"Office 170, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,-£18,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14906143,https://find-and-update.company-information.service.gov.uk/company/14906143/officers,https://find-and-update.company-information.service.gov.uk/company/14906143/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
136,171,Dezyncraft Limited,15763915,Yes,2024-06-05,Active,,"Office 171, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15763915,https://find-and-update.company-information.service.gov.uk/company/15763915/officers,https://find-and-update.company-information.service.gov.uk/company/15763915/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
137,172,Kohinoor Travels Ltd,15797773,Yes,2024-06-23,Active,,"Office 172, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15797773,https://find-and-update.company-information.service.gov.uk/company/15797773/officers,https://find-and-update.company-information.service.gov.uk/company/15797773/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
138,173,Digital Co Launch Ltd,15803725,Yes,2024-06-26,Active,,"Office 173, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15803725,https://find-and-update.company-information.service.gov.uk/company/15803725/officers,https://find-and-update.company-information.service.gov.uk/company/15803725/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
139,174,Apparel Avenue Ltd,15805018,Yes,2024-06-26,Active,,"Office 174, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15805018,https://find-and-update.company-information.service.gov.uk/company/15805018/officers,https://find-and-update.company-information.service.gov.uk/company/15805018/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
140,175,Linkuild Ltd,15811508,Yes,2024-07-01,Active,,"Office 175, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15811508,https://find-and-update.company-information.service.gov.uk/company/15811508/officers,https://find-and-update.company-information.service.gov.uk/company/15811508/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
141,176,Rahim Tech Ltd,15821704,Yes,2024-07-05,Active,,"Office 176, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15821704,https://find-and-update.company-information.service.gov.uk/company/15821704/officers,https://find-and-update.company-information.service.gov.uk/company/15821704/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
142,177,Sattar's Limited,15821846,Yes,2024-07-05,Active,,"Office 177, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15821846,https://find-and-update.company-information.service.gov.uk/company/15821846/officers,https://find-and-update.company-information.service.gov.uk/company/15821846/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
143,178,Geek Axon Ltd,14223255,Yes,2022-07-08,Active,,"Office 178, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£2,750",,LOW,PRIORITY,Yes,Web development / portal build / software services,Public software/web-development node. HopeTex pages attribute site development to Geekaxon and link to geekaxon.com at the same address.,Geek Axon uses Office 178 at the same address; HopeTex pages credit Geekaxon as developer.,https://find-and-update.company-information.service.gov.uk/company/14223255 | https://find-and-update.company-information.service.gov.uk/company/14223255/officers | https://geekaxon.com/ | https://hopetex.co.uk/about-us/,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14223255,https://find-and-update.company-information.service.gov.uk/company/14223255/officers,https://find-and-update.company-information.service.gov.uk/company/14223255/filing-history,Companies House + Geekaxon public site + HopeTex site footer,opengovuk,,,"Geekaxon public contact page lists Office 178, 85 Dunstall Hill, Wolverhampton, WV6 0SR. HopeTex pages also display 'Developed with by Geekaxon', linking the web-development vendor to the same address cluster.",https://geekaxon.com/contact | https://hopetexx.com/contact-us/ | https://hopetexx.com/privacy-policy/,,,,,
144,179,Digital Rapid Media Ltd,15827521,Yes,2024-07-09,Active,,"Office 179, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15827521,https://find-and-update.company-information.service.gov.uk/company/15827521/officers,https://find-and-update.company-information.service.gov.uk/company/15827521/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
145,180,Top Resume Solutions Ltd,15829904,Yes,2024-07-10,Active,,"Office 180, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15829904,https://find-and-update.company-information.service.gov.uk/company/15829904/officers,https://find-and-update.company-information.service.gov.uk/company/15829904/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
146,181,Redical Tech Services Ltd,15830481,Yes,2024-07-10,Active,,"Office 181, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15830481,https://find-and-update.company-information.service.gov.uk/company/15830481/officers,https://find-and-update.company-information.service.gov.uk/company/15830481/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
147,182,Devcode Solutions Ltd,15831694,Yes,2024-07-10,Active,,"Office 182, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15831694,https://find-and-update.company-information.service.gov.uk/company/15831694/officers,https://find-and-update.company-information.service.gov.uk/company/15831694/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
148,183,Nice Writers Ltd,15833565,Yes,2024-07-11,Active,,"Office 183, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£1,640",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15833565,https://find-and-update.company-information.service.gov.uk/company/15833565/officers,https://find-and-update.company-information.service.gov.uk/company/15833565/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
149,184,Jp Marketing Buzz Ltd,15835845,Yes,2024-07-12,Active,,"Office 184, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£1,098",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15835845,https://find-and-update.company-information.service.gov.uk/company/15835845/officers,https://find-and-update.company-information.service.gov.uk/company/15835845/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
150,185,Elecmore Ltd,15835884,Yes,2024-07-12,Active,,"Office 185, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15835884,https://find-and-update.company-information.service.gov.uk/company/15835884/officers,https://find-and-update.company-information.service.gov.uk/company/15835884/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
151,186,Nexweb Ltd,15836141,Yes,2024-07-12,Active,,"Office 186, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15836141,https://find-and-update.company-information.service.gov.uk/company/15836141/officers,https://find-and-update.company-information.service.gov.uk/company/15836141/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
152,187,Empire Bussines Limited,15839256,Yes,2024-07-15,Active,,"Office 187, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15839256,https://find-and-update.company-information.service.gov.uk/company/15839256/officers,https://find-and-update.company-information.service.gov.uk/company/15839256/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
153,188,Technek Ltd,15839144,Yes,2024-07-15,Active,,"Office 188, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15839144,https://find-and-update.company-information.service.gov.uk/company/15839144/officers,https://find-and-update.company-information.service.gov.uk/company/15839144/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
154,189,Avvari Solution'S Ltd,15840816,Yes,2024-07-16,Active,,"Office 189, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15840816,https://find-and-update.company-information.service.gov.uk/company/15840816/officers,https://find-and-update.company-information.service.gov.uk/company/15840816/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
155,190,Creative Web Templates Ltd,15842909,Yes,2024-07-17,Active,,"Office 190, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15842909,https://find-and-update.company-information.service.gov.uk/company/15842909/officers,https://find-and-update.company-information.service.gov.uk/company/15842909/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
156,191,The Initiatorzz Ltd,15852992,Yes,2024-07-23,Active,,"Office 191, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15852992,https://find-and-update.company-information.service.gov.uk/company/15852992/officers,https://find-and-update.company-information.service.gov.uk/company/15852992/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
157,192,Sah Fortune Founders Limited,15853034,Yes,2024-07-23,Active,,"Office 192, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15853034,https://find-and-update.company-information.service.gov.uk/company/15853034/officers,https://find-and-update.company-information.service.gov.uk/company/15853034/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
158,193,Codezadigital Ltd,15863222,Yes,2024-07-29,Active,,"Office 193, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15863222,https://find-and-update.company-information.service.gov.uk/company/15863222/officers,https://find-and-update.company-information.service.gov.uk/company/15863222/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
159,195,Ebzpro Media Ltd,14741688,Yes,2023-03-20,Active,,"Office 195, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£2,725",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14741688,https://find-and-update.company-information.service.gov.uk/company/14741688/officers,https://find-and-update.company-information.service.gov.uk/company/14741688/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/centralindex,,,,,,,,,
160,196,R Car Solutions Ltd,15871444,Yes,2024-08-02,Active,,"Office 196, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15871444,https://find-and-update.company-information.service.gov.uk/company/15871444/officers,https://find-and-update.company-information.service.gov.uk/company/15871444/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
161,197,Elbenz Ltd,15872474,Yes,2024-08-02,Active,,"Office 197, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15872474,https://find-and-update.company-information.service.gov.uk/company/15872474/officers,https://find-and-update.company-information.service.gov.uk/company/15872474/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
162,198,Alkarimtravel Limited,15876412,Yes,2024-08-05,Active,,"Office 198, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15876412,https://find-and-update.company-information.service.gov.uk/company/15876412/officers,https://find-and-update.company-information.service.gov.uk/company/15876412/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
163,199,Qais Hussaini Ltd,15878395,Yes,2024-08-05,Active,,"Office 199, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15878395,https://find-and-update.company-information.service.gov.uk/company/15878395/officers,https://find-and-update.company-information.service.gov.uk/company/15878395/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
164,200,Swsol Ltd,15895924,Yes,2024-08-14,Active,,"Office 200, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£5,170",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15895924,https://find-and-update.company-information.service.gov.uk/company/15895924/officers,https://find-and-update.company-information.service.gov.uk/company/15895924/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
165,201,Suzi Leather Ltd,15896690,Yes,2024-08-14,Active,,"Office 201, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15896690,https://find-and-update.company-information.service.gov.uk/company/15896690/officers,https://find-and-update.company-information.service.gov.uk/company/15896690/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
166,202,Mu Deal Ltd,15059203,Yes,2023-08-09,Active,,"Office 202, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"£1,421","£2,551",LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15059203,https://find-and-update.company-information.service.gov.uk/company/15059203/officers,https://find-and-update.company-information.service.gov.uk/company/15059203/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
167,203,Ai Seo Solutions Ltd,15057373,Yes,2023-08-08,Active,,"Office 203, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15057373,https://find-and-update.company-information.service.gov.uk/company/15057373/officers,https://find-and-update.company-information.service.gov.uk/company/15057373/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
168,204,Pupsbar Ltd,15043197,Yes,2023-08-01,Active,,"Office 204, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15043197,https://find-and-update.company-information.service.gov.uk/company/15043197/officers,https://find-and-update.company-information.service.gov.uk/company/15043197/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
